Author,Book_average_rating,units sold,genre,Publisher ,sale price,sales rank
"Unknown, Seamus Heaney",5,7000,genre fiction,HarperCollins Publishers,4.88,1
"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",5,7000,genre fiction,HarperCollins Publishers,1.99,2
Harper Lee,5,6999,genre fiction,"Amazon Digital Services,  Inc.",8.69,3
David Sedaris,5,6998,fiction,Hachette Book Group,7.5,3
Laini Taylor,4.99,6990,genre fiction,Penguin Group (USA) LLC,7.99,4
Victoria Aveyard,5,6990,genre fiction,"Amazon Digital Services,  Inc.",4.99,5
Charles Duhigg,5,6988,genre fiction,HarperCollins Publishers,6.99,6
John Berendt,5,6980,nonfiction,Hachette Book Group,6.89,8
Charlaine Harris,4.13,6999,genre fiction,"Amazon Digital Services,  Inc.",0.99,29
"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",4.32,6999,nonfiction,Hachette Book Group,3.99,29
"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",4.98,6999,genre fiction,"Amazon Digital Services,  Inc.",3.99,30
"Norton Juster, Jules Feiffer",4.22,6999,genre fiction,"Amazon Digital Services,  Inc.",1.99,31
Brandon Sanderson,4.64,6999,genre fiction,"Amazon Digital Services,  Inc.",0.99,32
Charlaine Harris,4.78,6999,genre fiction,HarperCollins Publishers,5.99,32
Ned Vizzini,4.32,6999,nonfiction,HarperCollins Publishers,0.99,34
Brandon Sanderson,4.35,6999,genre fiction,Random House LLC,8.99,35
Libba Bray,4.99,6880,genre fiction,Penguin Group (USA) LLC,2.99,57
Jonathan Safran Foer,4.6,6880,genre fiction,"Amazon Digital Services,  Inc.",0.99,58
Robert Ludlum,4.9,6880,genre fiction,Penguin Group (USA) LLC,10.91,59
Tammara Webber,4.11,6880,genre fiction,"Amazon Digital Services,  Inc.",0.99,59
"Charles Dickens, Jeremy Tambling",4.8,6880,genre fiction,Hachette Book Group,11.39,60
"Sherman Alexie, Ellen Forney",4.11,6880,genre fiction,Random House LLC,6.49,61
"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",4.32,6880,genre fiction,"Amazon Digital Services,  Inc.",3.99,62
Ursula K. Le Guin,4.8,6880,genre fiction,"Amazon Digital Services,  Inc.",3,63
"Kate DiCamillo, Chris Sheban",4.7,6880,genre fiction,"Amazon Digital Services,  Inc.",0.99,65
John Knowles,4.23,6880,genre fiction,"Amazon Digital Services,  Inc.",3.89,66
John Grisham,4.92,6880,genre fiction,"Amazon Digital Services,  Inc.",7.99,67
"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",4,6880,genre fiction,Hachette Book Group,8.99,68
Robin Hobb,4.14,6880,genre fiction,"Amazon Digital Services,  Inc.",1.99,70
Douglas Adams,4.22,6880,genre fiction,Penguin Group (USA) LLC,7.99,71
Lauren Kate,4,6880,genre fiction,"Amazon Digital Services,  Inc.",3.99,72
Beatrix Potter,4.17,6880,genre fiction,Penguin Group (USA) LLC,6.99,73
"C.S. Lewis, Pauline Baynes",4.95,6880,genre fiction,Hachette Book Group,3.79,75
